,precision,recall,f1-score,support
Normal,0.8723970944309928,0.970635775862069,0.9188982402448355,11136.0
Cell Imbalance,0.7804878048780488,0.5720984759671747,0.6602401488246237,3412.0
Weak Cell,0.9385567010309278,0.8270348837209303,0.8792737106432297,2752.0
Overvoltage Risk,0.7635658914728682,0.8509719222462203,0.804902962206333,463.0
Undervoltage Risk,0.5258620689655172,0.32972972972972975,0.4053156146179402,185.0
accuracy,0.8631602406953421,0.8631602406953421,0.8631602406953421,0.8631602406953421
macro avg,0.776173912155671,0.7100941575052248,0.7337261353073924,17948.0
weighted avg,0.8586896570968972,0.8631602406953421,0.8554159183782105,17948.0
